hash_table,avg_diff,std_diff,cnt_diff,ss_diff
telenor.se_gnunet_tcp_gnunet_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,1370.2846104860478,12123.397054566054,612.0,89802801071.27022
telenor.se_gris_tcp_gris_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,1463.520352909952,12558.618672141409,611.0,96208534306.42915
telenor.se_gsidcap_tcp_gsidcap_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,1159.3947581186403,12389.26046092191,694.0,106371187851.49628
telenor.se_gsigatekeeper_tcp_gsigatekeeper_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,1821.4496775852697,15901.487906099266,612.0,154495826491.64276
telenor.se_hkp_tcp_hkp_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-77.3345470569252,13384.214595054525,869.0,155491089890.25864
telenor.se_hostmon_tcp_hostmon_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,4321.7759616786025,65804.06194151803,58.0,247903259729.0297
telenor.se_icpv2_tcp_icpv2_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,418.7259661558851,7401.198613342345,2362.0,129330246372.51614
telenor.se_iprop_tcp_iprop_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,978.6326967880836,13373.887591435236,612.0,109283992712.30417
telenor.se_ircd_tcp_ircd_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-641.3368826108687,9952.204786046625,2291.0,226816210616.34164
telenor.se_isisd_tcp_isisd_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-1516.2978207916467,18789.670463003305,646.0,227718360448.89676
telenor.se_isns_tcp_isns_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,1304.6798642040385,13071.0963665764,604.0,103024699633.46362
telenor.se_kamanda_tcp_kamanda_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-3697.5962715390433,22101.34255211616,652.0,317993563006.1531
telenor.se_mdns_tcp_mdns_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,21096.348253053777,52708.98512573367,34.0,106813725655.37907
telenor.se_mon_tcp_mon_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,1448.0917966378465,13043.80616694095,610.0,103615798943.9781
telenor.se_munin_tcp_munin_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,8299.588236872356,75592.84071377886,45.0,254527955376.43796
telenor.se_nbd_tcp_nbd_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-687.9885065237113,9514.542576607899,2691.0,243516340165.10028
telenor.se_nfs_tcp_nfs_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,1114.8291348761625,15039.158467891477,612.0,138193713645.84787
telenor.se_ninstall_tcp_ninstall_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,1951.3848450049022,16777.311552707568,611.0,171701697823.5819
telenor.se_nut_tcp_nut_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,7117.9671645493345,65199.417911787605,58.0,245243549954.273
